no,pages,price
1,384,237200
2,320,245285
3,517,225939
4,352,345766
5,320,293793
6,248,259144
7,328,108133
8,377,113908
9,404,114197
10,391,350675
11,672,207748
12,352,233735
13,392,249471
14,449,360925
15,329,192301
16,544,489992
17,505,259866
18,384,173100
19,174,108133
20,470,157075
21,288,209192
22,160,129933
23,384,264053
24,622,120549
25,247,151444
26,40,297547
27,863,230270
28,368,574304
29,388,346199
30,290,164582
31,448,28730
32,224,184794
33,398,249038
34,548,519732
35,336,155920
36,373,163571
37,421,246728
38,423,288596
39,444,173100
40,322,265641
41,40,216411
42,172,84312
43,288,218865
44,433,258422
45,399,317614
46,835,216122
47,224,244707
48,323,360781
49,384,230848
50,584,385901
51,192,201974
52,144,295670
53,40,258278
54,314,268239
55,160,190857
56,416,241820
57,76,141338
58,329,222041
59,640,198653
60,337,138451
61,168,120549
62,309,321945
63,368,245285
64,379,230270
65,418,808183
66,480,509626
67,173,129500
68,131,102070
69,320,295814
70,456,238211
71,432,115352
72,50,115207
73,390,113908
74,486,345911
75,421,330319
76,288,295814
77,712,562899
78,333,342157
79,432,230848
80,467,404092
81,336,209192
82,275,205727
83,160,287296
84,317,209192
85,290,342879
86,80,201541
87,554,340136
88,243,215400
89,295,299568
90,136,216555
91,221,100337
92,296,353562
93,452,433110
94,177,151444
95,336,187681
96,320,215111
97,272,182772
98,368,587153
99,434,389510
100,312,317470
101,166,72041
102,320,258422
103,385,115352
104,256,294226
105,302,238211
106,636,120982
107,236,230848
108,403,268961
109,292,461840
110,268,288018
111,639,257989
112,357,155198
113,315,150578
114,350,126468
115,504,294948
116,208,142060
117,85,173100
118,405,227960
119,316,214967
120,458,303177
121,236,201685
122,256,141194
123,368,129211
124,160,201396
125,362,115352
126,32,259722
127,406,577336
128,406,334794
129,232,144226
130,342,187537
131,352,259722
132,81,180896
133,464,154620
134,361,72041
135,28,134120
136,216,158663
137,488,227383
138,480,259722
139,374,404236
140,323,112609
141,304,168335
142,272,200674
143,400,389799
144,32,182339
145,456,518288
146,160,274159
147,272,128634
148,383,646633
149,375,198942
150,462,278490
151,414,856403
152,220,173244
153,404,210636
154,258,183783
155,288,374640
156,128,110443
157,357,100915
158,331,186815
159,430,397306
160,480,265641
161,40,223629
162,368,574304
163,320,227960
164,457,129644
165,352,476277
166,352,209192
167,304,238066
168,293,258422
169,288,245285
170,440,115352
171,343,224207
172,233,129789
173,243,373918
174,457,179741
175,288,71463
176,288,78970
177,389,173244
178,323,259289
179,274,360203
180,420,173100
181,294,112609
182,304,286430
183,335,531282
184,320,349953
185,272,144659
186,509,302888
187,400,339125
188,36,120549
189,192,228682
190,436,245285
191,336,388211
192,512,721850
193,217,271704
194,464,238932
195,451,57604
196,328,158663
197,360,259722
198,176,158807
199,457,111309
200,484,447114
201,320,216411
202,294,72041
203,310,230270
204,368,365112
205,309,445815
206,358,436719
207,224,259866
208,140,184072
209,564,172811
210,182,165881
211,258,461984
212,353,134842
213,128,346488
214,368,186237
215,404,242830
216,224,145669
217,584,385901
218,244,187537
219,256,204428
220,463,194178
221,539,142060
222,528,371031
223,136,170212
224,404,200674
225,317,143648
226,515,352118
227,332,259722
228,248,238211
229,452,112464
230,272,247739
231,372,373485
232,32,161406
233,40,136574
234,352,375218
235,181,288740
236,176,488548
237,32,132387
238,350,14293
239,352,317037
240,276,43311
241,435,295814
242,182,389799
243,318,388211
244,160,216411
245,32,158663
246,405,78682
247,290,248316
248,158,43167
249,180,100193
250,296,216411
251,144,187537
252,112,189847
253,592,201974
254,399,680705
255,224,288018
256,227,14293
257,160,209192
258,112,201829
259,394,430656
260,545,585420
261,262,238211
262,208,229260
263,391,250626
264,352,534169
265,320,193889
266,304,87777
267,96,132820
268,848,692832
269,416,130799
270,213,225795
271,252,74351
272,444,152310
273,512,121993
274,304,77815
275,576,268095
276,176,324688
277,40,157652
278,558,335227
279,373,353707
280,384,116651
281,355,199519
282,561,400194
283,307,332051
284,512,198509
285,111,80270
286,386,338403
287,329,187537
288,384,209192
289,381,263475
290,256,211502
291,299,216555
292,456,89943
293,64,288740
294,333,360059
295,433,470357
296,272,577480
297,319,403947
298,224,1399812
299,620,244707
300,224,577336
301,362,158663
302,304,308663
303,338,295959
304,416,130799
305,340,339270
306,452,101059
307,350,72041
308,394,415497
309,318,86478
310,40,215256
311,260,135563
312,248,259722
313,336,230848
314,294,330174
315,278,692832
316,398,92108
317,320,536190
318,432,130077
319,406,122137
320,384,234601
321,337,129789
322,511,306498
323,487,173244
324,160,141338
325,577,477865
326,260,621946
327,296,216555
328,40,241387
329,38,230270
330,290,472234
331,323,283976
332,104,93841
333,367,43167
334,415,129067
335,336,216844
336,357,214967
337,386,151155
338,377,14293
339,304,90087
340,503,144370
341,208,244707
342,925,317470
343,288,78393
344,332,226372
345,543,223485
346,40,119250
347,402,115352
348,256,235756
349,274,72041
350,368,187392
351,40,186093
352,144,229115
353,443,467326
354,144,221175
355,290,249038
356,32,227527
357,96,194900
358,441,246728
359,240,113908
360,499,168047
361,368,334072
362,496,285275
363,448,72041
364,352,183927
365,182,288596
366,256,245285
367,420,246584
368,72,240954
369,243,187681
370,124,187537
371,286,432821
372,40,135563
373,557,750724
374,757,201252
375,64,95573
376,535,122281
377,347,173100
378,549,461840
379,809,555825
380,36,216411
381,240,354428
382,224,176565
383,256,346488
384,377,294659
385,357,288596
386,172,100915
387,211,270694
388,272,295670
389,579,285131
390,113,109432
391,402,343456
392,84,269828
393,378,166170
394,402,173100
395,389,403370
396,579,93119
397,768,201396
398,352,201974
399,341,375218
400,355,274014
401,272,235612
402,320,230848
403,352,289029
404,401,273870
405,496,144226
406,419,207171
407,527,1140379
408,448,238066
409,353,220020
410,258,340136
411,320,234601
412,309,324544
413,40,122281
414,496,129789
415,260,212946
416,373,182195
417,387,342157
418,288,121271
419,265,153032
420,400,561744
421,77,378394
422,513,230848
423,247,194755
424,32,288307
425,195,86622
426,375,284698
427,352,346488
428,912,271127
429,340,372475
430,102,240954
431,76,216555
432,320,144081
433,306,216122
434,314,268239
435,348,186382
436,417,119538
437,420,173100
438,357,493024
439,994,243408
440,112,174543
441,352,82002
442,320,339125
443,350,260877
444,291,119250
445,285,122137
446,825,376517
447,320,201974
448,672,144370
449,310,129500
450,436,380126
451,288,91819
452,144,172955
453,208,324688
454,317,197354
455,90,259722
456,453,114485
457,512,230848
458,341,270838
459,393,172522
460,254,216411
461,32,211791
462,279,57604
463,279,86478
464,156,216411
465,319,259722
466,336,216555
467,376,229115
